C:\Users\IdoYe\PycharmProjects\Research_Implementing\venv\Scripts\python.exe C:/Users/IdoYe/PycharmProjects/Research_Implementing/common/static_routing/multiple_matrices_MCF.py -p C:\Users\IdoYe\PycharmProjects\Research_Implementing\common\TMs_DB\ScaleFree70Nodes\ScaleFree70Nodes_tms_70X70_length_512_gravity_sparsity_0.3 -n 512
INFO:Creating Network Class
Network ScaleFree70Nodes has been created
INFO:LP Submit to Solve LP expected congestion, given network, TM list and probabilities
INFO:LP Submit to Solve LP expected congestion, given network, TM list and probabilities
  # Matrix    Congestion using multiple MCF - LP    Congestion using LP optimal    Ratio
----------  ------------------------------------  -----------------------------  -------
         0                                1.3566                       1.03125   1.31549
         1                                1.2902                       0.970206  1.32982
         2                                1.4775                       1.14541   1.28993
         3                                1.4813                       1.125     1.31671
         4                                1.3989                       1.10661   1.26414
         5                                1.7026                       1.29619   1.31354
         6                                1.5216                       1.14044   1.33423
         7                                1.3944                       1.05576   1.32076
         8                                1.5157                       1.18934   1.2744
         9                                1.4928                       1.08952   1.37015
        10                                1.2992                       0.998389  1.3013
        11                                1.6849                       1.31667   1.27967
        12                                1.2081                       0.998299  1.21016
        13                                1.4607                       1.20663   1.21056
        14                                1.2956                       1.03061   1.25712
        15                                1.4987                       1.13903   1.31577
        16                                1.19                         0.9831    1.21046
        17                                1.6345                       1.27936   1.2776
        18                                1.2387                       0.96133   1.28853
        19                                1.6823                       1.32653   1.2682
        20                                1.3587                       1.02143   1.3302
        21                                1.4248                       1.05612   1.34909
        22                                1.4935                       1.18956   1.25551
        23                                1.2611                       0.977144  1.2906
        24                                1.6593                       1.1922    1.39179
        25                                1.3895                       1.06728   1.3019
        26                                1.221                        0.925471  1.31933
        27                                1.5189                       1.18231   1.28469
        28                                1.3791                       1.07823   1.27904
        29                                1.5062                       1.23448   1.22011
        30                                1.6701                       1.24972   1.33638
        31                                1.3697                       1.01619   1.34787
        32                                1.412                        1.10306   1.28007
        33                                1.3747                       1.12628   1.22057
        34                                1.3831                       1.17092   1.18121
        35                                1.2881                       1.07936   1.19339
        36                                1.3434                       1.04943   1.28013
        37                                1.3889                       1.13536   1.22331
        38                                1.3711                       1.06314   1.28967
        39                                1.6534                       1.34257   1.23152
        40                                1.4874                       1.08897   1.36588
        41                                1.4172                       1.15476   1.22727
        42                                1.3368                       1.07526   1.24324
        43                                1.2592                       1.01735   1.23773
        44                                1.323                        0.999736  1.32335
        45                                1.5748                       1.26977   1.24022
        46                                1.3248                       1.01035   1.31124
        47                                1.1661                       0.918368  1.26975
        48                                1.5269                       1.25948   1.21233
        49                                1.3598                       1.09116   1.2462
        50                                1.5332                       1.18424   1.29467
        51                                1.6106                       1.26225   1.27598
        52                                1.4054                       1.18838   1.18262
        53                                1.4257                       1.07102   1.33117
        54                                1.5637                       1.33987   1.16705
        55                                1.3929                       0.989409  1.40781
        56                                1.5761                       1.25746   1.2534
        57                                1.2648                       0.973215  1.29961
        58                                1.3413                       1.16326   1.15305
        59                                1.7956                       1.58713   1.13135
        60                                1.6454                       1.30056   1.26515
        61                                1.2301                       0.965561  1.27397
        62                                1.3333                       1.072     1.24375
        63                                1.3885                       1.07213   1.29509
        64                                1.7587                       1.39482   1.26088
        65                                1.4627                       1.11264   1.31462
        66                                1.4049                       1.07449   1.3075
        67                                1.3377                       1.12075   1.19358
        68                                1.6936                       1.38929   1.21904
        69                                1.3536                       1.11735   1.21144
        70                                1.4859                       1.16047   1.28043
        71                                1.663                        1.33259   1.24795
        72                                1.4575                       1.13891   1.27973
        73                                1.5472                       1.18148   1.30955
        74                                1.4627                       1.0755    1.36002
        75                                1.593                        1.2575    1.2668
        76                                1.3745                       1.09949   1.25013
        77                                1.2078                       1.0102    1.1956
        78                                1.3914                       1.18027   1.17888
        79                                1.4239                       1.08595   1.3112
        80                                1.3819                       1.14826   1.20347
        81                                1.6599                       1.37206   1.20979
        82                                1.2218                       0.961225  1.27109
        83                                1.4235                       1.12142   1.26938
        84                                1.5835                       1.23737   1.27973
        85                                1.406                        1.08477   1.29612
        86                                1.6205                       1.18582   1.36656
        87                                1.3618                       1.06515   1.27851
        88                                1.2348                       1.04906   1.17706
        89                                1.2175                       1.02551   1.18721
        90                                1.6216                       1.35476   1.19696
        91                                1.4998                       1.16181   1.29092
        92                                1.5275                       1.24097   1.23089
        93                                1.3623                       1.05612   1.28991
        94                                1.7064                       1.37172   1.24399
        95                                1.371                        1.2398    1.10583
        96                                1.7414                       1.49014   1.16862
        97                                1.412                        1.07226   1.31684
        98                                1.8918                       1.53689   1.23093
        99                                1.2756                       1.10243   1.15708
       100                                1.3664                       1.0398    1.3141
       101                                1.2056                       0.989796  1.21803
       102                                1.5847                       1.21174   1.30779
       103                                1.5991                       1.26645   1.26266
       104                                1.6188                       1.24019   1.30528
       105                                1.6118                       1.2548    1.2845
       106                                1.2541                       1.00574   1.24694
       107                                1.3318                       1.02908   1.29417
       108                                1.5427                       1.26923   1.21546
       109                                1.5069                       1.24686   1.20856
       110                                1.3807                       1.07823   1.28052
       111                                1.414                        1.1511    1.22839
       112                                1.5754                       1.33769   1.1777
       113                                1.2495                       1.02041   1.22451
       114                                1.4089                       1.12245   1.2552
       115                                1.5122                       1.20465   1.2553
       116                                1.4745                       1.12965   1.30527
       117                                1.5241                       1.28129   1.1895
       118                                1.3438                       1.09184   1.23077
       119                                1.284                        1.05918   1.21225
       120                                1.4748                       1.12149   1.31503
       121                                1.8631                       1.54356   1.20701
       122                                1.6662                       1.43401   1.16191
       123                                1.869                        1.31269   1.42379
       124                                1.4162                       1.1085    1.27758
       125                                1.5883                       1.37166   1.15794
       126                                1.1959                       0.957908  1.24845
       127                                1.6527                       1.26531   1.30617
       128                                1.4085                       0.972239  1.44872
       129                                1.2983                       1.06186   1.22266
       130                                1.3268                       0.965249  1.37457
       131                                1.642                        1.2551    1.30826
       132                                1.4255                       1.15466   1.23457
       133                                1.3645                       1.07544   1.26879
       134                                1.6502                       1.42425   1.15864
       135                                1.2896                       0.880476  1.46466
       136                                1.7485                       1.39639   1.25216
       137                                1.67                         1.29419   1.29038
       138                                1.3549                       1.07857   1.2562
       139                                1.4528                       1.17602   1.23535
       140                                1.6151                       1.3683    1.18037
       141                                1.4747                       1.15844   1.27301
       142                                1.5265                       1.17347   1.30084
       143                                1.3805                       1.03061   1.33949
       144                                1.3132                       0.937436  1.40084
       145                                1.76                         1.32443   1.32887
       146                                1.5853                       1.28415   1.23452
       147                                1.4121                       1.10787   1.27461
       148                                1.4425                       1.08374   1.33104
       149                                1.3016                       0.957669  1.35913
       150                                1.6743                       1.20096   1.39413
       151                                1.6493                       1.38265   1.19285
       152                                1.2961                       1.04963   1.23482
       153                                1.5889                       1.28986   1.23184
       154                                1.6688                       1.27405   1.30984
       155                                1.4678                       1.21556   1.20751
       156                                1.5231                       1.17602   1.29513
       157                                1.3971                       1.22998   1.13587
       158                                1.4877                       1.15654   1.28633
       159                                1.5426                       1.13648   1.35735
       160                                1.4466                       1.04232   1.38786
       161                                1.1389                       0.987245  1.15361
       162                                1.3436                       1.03118   1.30297
       163                                1.4092                       1.1354    1.24115
       164                                1.6355                       1.24725   1.31128
       165                                1.4089                       1.12155   1.25621
       166                                1.3876                       1.16523   1.19084
       167                                1.4131                       1.18623   1.19126
       168                                1.3971                       1.1051    1.26423
       169                                1.2938                       1.15306   1.12206
       170                                1.4126                       1.06169   1.33052
       171                                1.3976                       1.06671   1.3102
       172                                1.4724                       1.18395   1.24363
       173                                1.4454                       1.10158   1.31212
       174                                1.3258                       1.00204   1.3231
       175                                1.2713                       1.00121   1.26977
       176                                1.5416                       1.14349   1.34815
       177                                1.4399                       1.12548   1.27937
       178                                1.5591                       1.23661   1.26079
       179                                1.3405                       0.987452  1.35753
       180                                1.5315                       1.24294   1.23216
       181                                1.3732                       1.03118   1.33168
       182                                1.7868                       1.46154   1.22255
       183                                1.6424                       1.29474   1.26852
       184                                1.3622                       1.05918   1.28608
       185                                1.5628                       1.21598   1.28522
       186                                1.5285                       1.36224   1.12204
       187                                1.5647                       1.23116   1.27091
       188                                1.3715                       1.17582   1.16642
       189                                1.4119                       1.24082   1.13788
       190                                1.5024                       1.11926   1.34232
       191                                1.6807                       1.29592   1.29692
       192                                1.3978                       1.1102    1.25905
       193                                1.2674                       0.98761   1.2833
       194                                1.2836                       0.960204  1.3368
       195                                1.6775                       1.42156   1.18004
       196                                1.2791                       1.01531   1.25982
       197                                1.5953                       1.2541    1.27207
       198                                1.3704                       1.03163   1.32838
       199                                1.328                        1.06201   1.25046
       200                                1.4524                       1.07949   1.34545
       201                                1.4724                       1.11607   1.31927
       202                                1.2585                       1.00046   1.25792
       203                                1.5599                       1.25646   1.2415
       204                                1.4338                       1.15424   1.2422
       205                                1.423                        1.1183    1.27246
       206                                1.3676                       1.1148    1.22677
       207                                1.4827                       1.13878   1.30201
       208                                1.4354                       1.2029    1.19328
       209                                1.2266                       0.955752  1.28339
       210                                1.4043                       1.09467   1.28285
       211                                1.4575                       1.09825   1.32711
       212                                1.5157                       1.26941   1.19402
       213                                1.513                        1.10427   1.37013
       214                                1.6441                       1.29584   1.26875
       215                                1.2629                       0.96978   1.30225
       216                                1.5413                       1.35241   1.13967
       217                                1.0685                       0.864564  1.23588
       218                                1.4588                       1.21429   1.20136
       219                                1.5308                       1.24745   1.22714
       220                                1.6009                       1.37974   1.16029
       221                                1.2104                       0.978742  1.23669
       222                                1.4424                       1.14147   1.26364
       223                                1.6166                       1.31314   1.2311
       224                                1.2473                       1.11429   1.11937
       225                                1.7075                       1.27944   1.33457
       226                                1.398                        1.14413   1.22189
       227                                1.5681                       1.30443   1.20213
       228                                1.5634                       1.12302   1.39214
       229                                1.4777                       1.3023    1.13469
       230                                1.3782                       1.21336   1.13586
       231                                1.4896                       1.23195   1.20914
       232                                1.3293                       1.01243   1.31298
       233                                1.2728                       1.01587   1.25291
       234                                1.5786                       1.18652   1.33045
       235                                1.4743                       1.19626   1.23243
       236                                1.6045                       1.38854   1.15553
       237                                1.376                        1.12143   1.22701
       238                                1.4539                       1.10223   1.31905
       239                                1.2937                       1.05612   1.22495
       240                                1.5069                       1.24184   1.21344
       241                                1.4865                       1.23088   1.20767
       242                                1.3459                       0.94021   1.43149
       243                                1.4764                       1.20526   1.22496
       244                                1.28                         1.05029   1.21871
       245                                1.2569                       0.952381  1.31974
       246                                1.3599                       1.07814   1.26134
       247                                1.675                        1.45251   1.15317
       248                                1.2228                       0.979592  1.24827
       249                                1.7766                       1.30166   1.36487
       250                                1.4171                       1.15561   1.22628
       251                                1.4891                       1.29042   1.15396
       252                                1.5192                       1.19694   1.26924
       253                                1.3117                       0.968368  1.35455
       254                                1.2979                       1.02934   1.26091
       255                                1.3534                       1.01361   1.33523
       256                                1.748                        1.39874   1.24969
       257                                1.4175                       1.11765   1.26829
       258                                1.7881                       1.52381   1.17344
       259                                1.5154                       1.2461    1.21611
       260                                1.4516                       1.16366   1.24745
       261                                1.3369                       1.01185   1.32124
       262                                1.5797                       1.18721   1.3306
       263                                1.5916                       1.36334   1.16743
       264                                1.395                        1.1301    1.2344
       265                                1.5596                       1.24873   1.24895
