C:\Users\IdoYe\PycharmProjects\Research_Implementing\venv\Scripts\python.exe C:/Users/IdoYe/PycharmProjects/Research_Implementing/Link_State_Routing_PEFT/MCF_problem/multiple_matrices_MCF.py -p C:\Users\IdoYe\PycharmProjects\Research_Implementing\common\TMs_DB\ScaleFree70Nodes\ScaleFree70Nodes_tms_70X70_length_20000_gravity_sparsity_0.3 -n 512
INFO:Creating Network Class
Network ScaleFree70Nodes has been created
INFO:LP Submit to Solve LP expected congestion, given network, TM list and probabilities
  # Matrix    Congestion using multiple MCF - LP    Congestion using LP optimal    Ratio
----------  ------------------------------------  -----------------------------  -------
         0                                1.6221                       1.20761   1.34323
         1                                1.5853                       1.19798   1.32331
         2                                1.4265                       0.995699  1.43266
         3                                1.5117                       1.17156   1.29034
         4                                1.3519                       1.10081   1.2281
         5                                1.4357                       1.13148   1.26887
         6                                1.5831                       1.37677   1.14987
         7                                1.5675                       1.28821   1.21681
         8                                1.5411                       1.20372   1.28028
         9                                1.3808                       1.06098   1.30144
        10                                1.5502                       1.29984   1.19261
        11                                1.2869                       1.02679   1.25333
        12                                1.7271                       1.37883   1.25259
        13                                1.5273                       1.22959   1.24212
        14                                1.7186                       1.34792   1.275
        15                                1.2792                       1.04847   1.22006
        16                                1.2048                       0.961332  1.25326
        17                                1.5212                       1.18037   1.28875
        18                                1.4463                       1.08401   1.33421
        19                                1.5537                       1.2602    1.2329
        20                                1.3967                       1.09678   1.27345
        21                                1.3672                       1.15816   1.18049
        22                                1.7596                       1.36955   1.2848
        23                                1.4027                       0.990517  1.41613
        24                                1.3016                       1.02632   1.26823
        25                                1.7007                       1.5365    1.10687
        26                                1.4531                       1.1314    1.28434
        27                                1.5918                       1.24617   1.27735
        28                                1.6662                       1.33634   1.24684
        29                                1.4048                       1.06973   1.31323
        30                                1.542                        1.19842   1.28669
        31                                1.4874                       1.21429   1.22492
        32                                1.5743                       1.29356   1.21703
        33                                1.4066                       1.14222   1.23146
        34                                1.2294                       0.979932  1.25458
        35                                1.3282                       1.02551   1.29516
        36                                1.6204                       1.29968   1.24677
        37                                1.8647                       1.46609   1.27189
        38                                1.4993                       1.27865   1.17256
        39                                1.6148                       1.38462   1.16624
        40                                1.2778                       1.04082   1.22769
        41                                1.2878                       1.00821   1.27731
        42                                1.4629                       1.18132   1.23836
        43                                1.6437                       1.26225   1.3022
        44                                1.5307                       1.30612   1.17194
        45                                1.3793                       1.16063   1.18841
        46                                1.451                        1.10714   1.31058
        47                                1.7732                       1.41156   1.25619
        48                                1.1888                       0.918934  1.29367
        49                                1.4727                       1.16387   1.26534
        50                                1.4784                       1.06633   1.38644
        51                                1.6201                       1.3387    1.21021
        52                                1.2919                       1.09694   1.17773
        53                                1.2768                       1.06531   1.19853
        54                                1.3951                       1.0705    1.30322
        55                                1.4275                       1.16055   1.23002
        56                                1.5303                       1.13848   1.34416
        57                                1.6386                       1.21184   1.35216
        58                                1.4002                       1.20153   1.16535
        59                                1.5453                       1.20338   1.28413
        60                                1.3407                       1.15136   1.16445
        61                                1.316                        1.05931   1.24232
        62                                1.5118                       1.26644   1.19374
        63                                1.6339                       1.25236   1.30466
        64                                1.2525                       0.993342  1.2609
        65                                1.6202                       1.24422   1.30218
        66                                1.4008                       1.09869   1.27497
        67                                1.5959                       1.2967    1.23074
        68                                1.5267                       1.11097   1.3742
        69                                1.6274                       1.2599    1.29169
        70                                1.6841                       1.25791   1.33881
        71                                1.4257                       1.24686   1.14343
        72                                1.3208                       1.03954   1.27056
        73                                1.6286                       1.35714   1.20002
        74                                1.4421                       1.11565   1.29261
        75                                1.7225                       1.33752   1.28783
        76                                1.6287                       1.33674   1.21842
        77                                1.205                        0.920977  1.30839
        78                                1.6372                       1.27687   1.2822
        79                                1.4295                       1.17861   1.21287
        80                                1.8852                       1.61342   1.16845
        81                                1.4971                       1.23797   1.20931
        82                                1.1862                       1.0727    1.1058
        83                                1.5084                       1.20536   1.25141
        84                                1.517                        1.14428   1.32572
        85                                1.5669                       1.22292   1.28128
        86                                1.3379                       1.14512   1.16834
        87                                1.365                        1.09456   1.24707
        88                                1.444                        1.18721   1.2163
        89                                1.4468                       1.17143   1.23507
        90                                1.6545                       1.32217   1.25135
        91                                1.3627                       1.06174   1.28347
        92                                1.3168                       1.00046   1.31619
        93                                1.4921                       1.03108   1.44713
        94                                1.3892                       1.1199    1.24047
        95                                1.2201                       1.03316   1.18094
        96                                1.2339                       1.07781   1.14483
        97                                1.5347                       1.16327   1.3193
        98                                1.3006                       1.08163   1.20244
        99                                1.3865                       1.16258   1.1926
       100                                1.5744                       1.36539   1.15308
       101                                1.7793                       1.35874   1.30952
       102                                1.5446                       1.17661   1.31276
       103                                1.6663                       1.24151   1.34216
       104                                1.5089                       1.16477   1.29545
       105                                1.3791                       1.03741   1.32936
       106                                1.4739                       1.23214   1.19621
       107                                1.3601                       1.03341   1.31613
       108                                1.2013                       0.959184  1.25242
       109                                1.4285                       1.14678   1.24566
       110                                1.3519                       1.10047   1.22847
       111                                1.1773                       0.933974  1.26053
       112                                1.3917                       1.25612   1.10793
       113                                1.5695                       1.36735   1.14784
       114                                1.2543                       0.976413  1.2846
       115                                1.3545                       1.21046   1.119
       116                                1.5362                       1.20565   1.27417
       117                                1.6508                       1.2513    1.31927
       118                                1.5048                       1.19278   1.26159
       119                                1.434                        1.08418   1.32265
       120                                1.2369                       0.983517  1.25763
       121                                1.6108                       1.18481   1.35955
       122                                1.3853                       1.07398   1.28988
       123                                1.2892                       1.00102   1.28789
       124                                1.5379                       1.27324   1.20786
       125                                1.7007                       1.20836   1.40744
       126                                1.4641                       1.11862   1.30884
       127                                1.5524                       1.20472   1.2886
       128                                1.5401                       1.19719   1.28643
       129                                1.266                        0.95034   1.33215
       130                                1.4975                       1.17896   1.27018
       131                                1.4968                       1.16013   1.2902
       132                                1.8177                       1.46757   1.23858
       133                                1.2686                       1.07221   1.18316
       134                                1.2588                       0.977041  1.28838
       135                                1.3164                       0.97449   1.35086
       136                                1.25                         1.00567   1.24295
       137                                1.3938                       1.3227    1.05375
       138                                1.2887                       1.05995   1.21581
       139                                1.42                         1.16417   1.21976
       140                                1.406                        1.16472   1.20715
       141                                1.3891                       1.17857   1.17863
       142                                1.4541                       1.19424   1.21759
       143                                1.3254                       1.04209   1.27186
       144                                1.3724                       1.10569   1.24122
       145                                1.477                        1.12406   1.31399
       146                                1.1373                       0.919388  1.23702
       147                                1.1905                       1.01939   1.16786
       148                                1.4301                       1.2       1.19175
       149                                1.2844                       1.05306   1.21968
       150                                1.6477                       1.40463   1.17305
       151                                1.7263                       1.4062    1.22763
       152                                1.5713                       1.2382    1.26902
       153                                1.3703                       1.06123   1.29124
       154                                1.5034                       1.21882   1.23349
       155                                1.6073                       1.2234    1.3138
       156                                1.533                        1.26727   1.20969
       157                                1.5535                       1.14694   1.35447
       158                                1.2355                       0.928572  1.33054
       159                                1.3423                       1.10427   1.21555
       160                                1.3319                       1.17219   1.13625
       161                                1.4193                       1.15071   1.23342
       162                                1.4613                       1.24898   1.16999
       163                                1.4554                       1.20094   1.21188
       164                                1.5796                       1.27808   1.23592
       165                                1.5984                       1.34184   1.1912
       166                                1.3241                       1.09803   1.20588
       167                                1.3925                       1.15816   1.20234
       168                                1.2665                       0.935128  1.35436
       169                                1.7526                       1.33831   1.30957
       170                                1.6119                       1.30492   1.23525
       171                                1.6031                       1.19658   1.33974
       172                                1.4444                       1.13903   1.2681
       173                                1.3355                       1.05912   1.26095
       174                                1.7064                       1.44388   1.18182
       175                                1.6469                       1.29142   1.27527
       176                                1.5979                       1.33856   1.19375
       177                                1.6583                       1.27049   1.30524
       178                                1.4108                       1.17666   1.19899
       179                                1.4283                       1.03502   1.37997
       180                                1.3068                       0.983601  1.32859
       181                                1.1621                       0.852856  1.3626
       182                                1.6647                       1.36029   1.22378
       183                                1.7001                       1.45447   1.16888
       184                                1.3542                       1.18838   1.13953
       185                                1.5592                       1.16917   1.33359
       186                                1.368                        1.10782   1.23485
       187                                1.3936                       1.18495   1.17608
       188                                1.4271                       1.13329   1.25925
       189                                1.4686                       1.14367   1.28411
       190                                1.4762                       1.1       1.342
       191                                1.3524                       1.08634   1.24491
       192                                1.1482                       1.02041   1.12524
       193                                1.6666                       1.36599   1.22007
       194                                1.2826                       1.104     1.16177
       195                                1.5073                       1.10535   1.36364
       196                                1.453                        1.2033    1.20752
       197                                1.1455                       0.933674  1.22687
       198                                1.4574                       1.13462   1.28449
       199                                1.3482                       0.997656  1.35137
       200                                1.5579                       1.25474   1.24161
       201                                1.2112                       1.10204   1.09905
       202                                1.5405                       1.32993   1.15833
       203                                1.5287                       1.25319   1.21985
       204                                1.0645                       0.902041  1.1801
       205                                1.6663                       1.40385   1.18695
       206                                1.5268                       1.1855    1.2879
       207                                1.5261                       1.17589   1.29782
       208                                1.4429                       1.2084    1.19406
       209                                1.5626                       1.11402   1.40266
       210                                1.459                        1.15149   1.26705
       211                                1.3664                       1.02041   1.33907
       212                                1.3847                       1.08045   1.28159
       213                                1.4894                       1.09994   1.35407
       214                                1.6552                       1.18275   1.39945
       215                                1.3982                       1.06633   1.31123
       216                                1.2758                       1.09439   1.16577
       217                                1.2898                       1.17347   1.09913
       218                                1.4594                       1.13994   1.28024
       219                                1.6783                       1.37677   1.21902
       220                                1.341                        1.10714   1.21123
       221                                1.2459                       0.92551   1.34618
       222                                1.3612                       1.02232   1.33148
       223                                1.8158                       1.39054   1.30583
       224                                1.269                        1.02041   1.24362
       225                                1.5485                       1.14942   1.3472
       226                                1.6423                       1.37381   1.19543
       227                                1.3734                       1.12925   1.2162
       228                                1.259                        1.05612   1.1921
       229                                1.5276                       1.33844   1.14133
       230                                1.6169                       1.18401   1.36561
       231                                1.5778                       1.16531   1.35398
       232                                1.6483                       1.26755   1.30038
       233                                1.1792                       0.874982  1.34768
       234                                1.6305                       1.39305   1.17045
       235                                1.562                        1.16497   1.34081
       236                                1.5476                       1.24014   1.24793
       237                                1.7166                       1.44898   1.1847
       238                                1.5268                       1.23158   1.23971
       239                                1.5165                       1.06725   1.42094
       240                                1.639                        1.29649   1.26419
       241                                1.219                        0.938776  1.2985
       242                                1.5694                       1.28731   1.21913
       243                                1.3572                       1.03015   1.31748
       244                                1.5129                       1.19707   1.26384
       245                                1.7304                       1.293     1.33828
       246                                1.6016                       1.25219   1.27904
       247                                1.43                         1.07665   1.32819
       248                                1.5868                       1.29886   1.22168
       249                                1.1985                       0.915533  1.30907
       250                                1.607                        1.36416   1.17802
       251                                1.6059                       1.29553   1.23957
       252                                1.412                        1.20663   1.1702
       253                                1.3403                       1.07959   1.24149
       254                                1.1714                       0.883929  1.32522
       255                                1.4951                       1.18764   1.25888
       256                                1.4724                       1.25157   1.17644
       257                                1.5367                       1.20952   1.2705
       258                                1.4467                       1.26177   1.14656
       259                                1.2843                       0.994898  1.29089
       260                                1.498                        1.13973   1.31434
       261                                1.3468                       1.1044    1.21949
       262                                1.3779                       1.09184   1.262
       263                                1.6881                       1.38115   1.22224
       264                                1.1717                       0.938776  1.24811
       265                                1.1266                       0.990816  1.13704
       266                                1.2891                       0.957483  1.34634
       267                                1.6272                       1.2977    1.25391
       268                                1.5972                       1.25149   1.27624
       269                                1.4496                       1.10969   1.30631
       270                                1.663                        1.41837   1.17247
       271                                1.5758                       1.32781   1.18677
       272                                1.6016                       1.32143   1.21202
       273                                1.2781                       0.98105   1.30279
       274                                1.3845                       1.14924   1.20471
       275                                1.6422                       1.33556   1.2296
       276                                1.3941                       1.09821   1.26942
       277                                1.4044                       1.11582   1.25863
       278                                1.6945                       1.38231   1.22585
       279                                1.6686                       1.41797   1.17675
       280                                1.3701                       1.28699   1.06458
       281                                1.5878                       1.18805   1.33648
       282                                1.7196                       1.41209   1.21777
       283                                1.4224                       1.14286   1.2446
       284                                1.5269                       1.19005   1.28305
       285                                1.6922                       1.30259   1.2991
       286                                1.5617                       1.28886   1.2117
       287                                1.7408                       1.26259   1.37876
       288                                1.4333                       1.07876   1.32865
       289                                1.5634                       1.33752   1.16888
       290                                1.445                        1.14674   1.26009
       291                                1.5901                       1.23629   1.28619
       292                                1.2442                       1.05867   1.17524
       293                                1.3064                       0.961239  1.35908
       294                                1.3824                       1.10999   1.24542
       295                                1.4318                       0.971939  1.47314
       296                                1.2448                       0.939438  1.32505
       297                                1.2363                       1.10102   1.12287
       298                                1.2679                       1.08674   1.16671
       299                                1.5999                       1.31279   1.2187
       300                                1.5432                       1.18495   1.30233
       301                                1.4141                       1.22576   1.15365
       302                                1.5471                       1.21098   1.27756
       303                                1.7899                       1.48884   1.20221
       304                                1.564                        1.27925   1.22259
       305                                1.3128                       1.09592   1.1979
       306                                1.4217                       1.17896   1.20589
       307                                1.4297                       1.15206   1.24099
       308                                1.7283                       1.40051   1.23405
       309                                1.1935                       0.939796  1.26996
       310                                1.3128                       1.125     1.16693
       311                                1.2029                       0.994898  1.20907
       312                                1.2798                       0.979352  1.30678
       313                                1.4037                       1.04578   1.34225
       314                                1.8835                       1.60047   1.17684
       315                                1.4715                       1.0683    1.37742
       316                                1.298                        1.03946   1.24873
       317                                1.7065                       1.37323   1.24269
       318                                1.4709                       1.13305   1.29818
       319                                1.4274                       1.11656   1.27839
       320                                1.5539                       1.19898   1.29602
       321                                1.6868                       1.3244    1.27364
       322                                1.4737                       1.30357   1.13051
       323                                1.5154                       1.2039    1.25875
       324                                1.7537                       1.55204   1.12993
       325                                1.6199                       1.29356   1.25228
       326                                1.1725                       0.962785  1.21782
       327                                1.4678                       1.20204   1.22109
       328                                1.5239                       1.35479   1.12483
       329                                1.431                        1.26217   1.13376
       330                                1.3851                       1.13297   1.22254
       331                                1.545                        1.22449   1.26175
       332                                1.5875                       1.35086   1.17517
       333                                1.4079                       1.06208   1.32561
       334                                1.4952                       1.0487    1.42576
       335                                1.354                        1.05432   1.28424
       336                                1.3918                       1.15408   1.20598
       337                                1.4293                       1.14364   1.24978
       338                                1.5269                       1.16297   1.31294
       339                                1.4086                       1.16667   1.20737
       340                                1.3498                       1.05612   1.27807
       341                                1.5012                       1.22959   1.22089
       342                                1.311                        0.99089   1.32305
       343                                1.3472                       1.01387   1.32877
       344                                1.4547                       1.13231   1.28472
       345                                1.3306                       1.033     1.2881
       346                                1.4118                       1.11203   1.26957
       347                                1.5039                       1.14979   1.30798
       348                                1.5622                       1.29317   1.20804
       349                                1.2067                       0.93973   1.28409
       350                                1.2815                       0.985152  1.30081
       351                                1.5941                       1.27988   1.2455
       352                                1.3252                       1.0102    1.31181
       353                                1.5189                       1.20461   1.2609
       354                                1.4586                       1.20982   1.20563
       355                                1.2747                       1.10918   1.14922
       356                                1.4015                       1.27245   1.10142
       357                                1.5066                       1.18603   1.27029
       358                                1.6435                       1.23406   1.33179
       359                                1.4653                       1.26766   1.15591
       360                                1.5174                       1.30726   1.16075
       361                                1.3209                       1.03008   1.28233
       362                                1.5435                       1.20408   1.28189
       363                                1.4334                       1.05816   1.35461
       364                                1.2272                       1.0106    1.21433
       365                                1.636                        1.31868   1.24063
       366                                1.3019                       0.981293  1.32672
       367                                1.4884                       1.18708   1.25384
